snr_db,target_fs_hz,bits,records,reference_beats,tp,fp,fn,pooled_sensitivity_pct,pooled_ppv_pct,pooled_f1_pct,macro_f1_mean_pct,macro_f1_median_pct,macro_f1_q05_pct,median_timing_error_ms,p95_timing_error_ms_median,clipping_rate_pct_mean,quantization_rmse_uv_mean,quantization_snr_db_median,raw_bitrate_bps,storage_mib_per_day,reference_f1_pct,f1_drop_from_reference_pp,bitrate_reduction_pct
6,250,11,2.00000000,1848.00000000,1767.00000000,889.00000000,81.00000000,95.61688312,66.52861446,78.46358792,78.38771335,78.38771335,76.48916286,2.00000000,97.18611111,0.03398250,11.45228263,38.78762839,2750.00000000,28.32412720,81.99815838,3.53457046,30.55555556
6,360,6,2.00000000,1848.00000000,1777.00000000,728.00000000,71.00000000,96.15800866,70.93812375,81.64484264,81.64028171,81.64028171,81.57234113,1.38888889,90.27777778,0.04151999,47.31767358,25.84036648,2160.00000000,22.24731445,81.99815838,0.35331574,45.45454545
6,360,7,2.00000000,1848.00000000,1780.00000000,717.00000000,68.00000000,96.32034632,71.28554265,81.93325662,81.92367386,81.92367386,81.77671947,1.38888889,93.05555556,0.03797127,26.03118222,31.05658500,2520.00000000,25.95520020,81.99815838,0.06490176,36.36363636
6,360,8,2.00000000,1848.00000000,1781.00000000,708.00000000,67.00000000,96.37445887,71.55484130,82.13050496,82.14791290,82.14791290,81.90082772,1.38888889,88.88888889,0.03584204,16.62203975,35.07568201,2880.00000000,29.66308594,81.99815838,-0.13234658,27.27272727
6,360,9,2.00000000,1848.00000000,1781.00000000,713.00000000,67.00000000,96.37445887,71.41138733,82.03592814,82.03495018,82.03495018,82.02025151,1.38888889,89.44444445,0.03459999,12.99313662,37.45080192,3240.00000000,33.37097168,81.99815838,-0.03776976,18.18181818
6,360,10,2.00000000,1848.00000000,1781.00000000,717.00000000,67.00000000,96.37445887,71.29703763,81.96042338,81.96144847,81.96144847,81.94614484,1.38888889,93.05555556,0.03389024,11.78748922,38.46911042,3600.00000000,37.07885742,81.99815838,0.03773500,9.09090909
6,360,11,2.00000000,1848.00000000,1781.00000000,715.00000000,67.00000000,96.37445887,71.35416667,81.99815838,81.99932219,81.99932219,81.98195566,1.38888889,91.94444445,0.03371281,11.42290293,38.80993948,3960.00000000,40.78674316,81.99815838,0.00000000,0.00000000
12,100,6,2.00000000,1848.00000000,1794.00000000,547.00000000,54.00000000,97.07792208,76.63391713,85.65290045,85.60874640,85.60874640,79.86856695,32.22222222,83.63888889,0.00000000,45.11631580,22.56377597,600.00000000,6.17980957,96.43044619,10.77754574,84.84848485
12,100,7,2.00000000,1848.00000000,1792.00000000,551.00000000,56.00000000,96.96969697,76.48314127,85.51658315,85.47806359,85.47806359,79.66638533,32.50000000,93.80555555,0.00000000,22.53923161,28.59167167,700.00000000,7.20977783,96.43044619,10.91386304,82.32323232
12,100,8,2.00000000,1848.00000000,1788.00000000,541.00000000,60.00000000,96.75324675,76.77114641,85.61168303,85.56380331,85.56380331,79.75753807,32.50000000,88.30555555,0.00000000,11.27350529,34.60927393,800.00000000,8.23974609,96.43044619,10.81876317,79.79797980
12,100,9,2.00000000,1848.00000000,1791.00000000,542.00000000,57.00000000,96.91558442,76.76810973,85.67328390,85.62122015,85.62122015,80.02377180,32.22222222,93.12500000,0.00000000,5.64297142,40.62028744,900.00000000,9.26971436,96.43044619,10.75716229,77.27272727
12,100,10,2.00000000,1848.00000000,1792.00000000,540.00000000,56.00000000,96.96969697,76.84391081,85.74162679,85.70208641,85.70208641,79.98089714,32.22222222,92.88888889,0.00000000,2.81267251,46.66806537,1000.00000000,10.29968262,96.43044619,10.68881940,74.74747475
12,100,11,2.00000000,1848.00000000,1790.00000000,554.00000000,58.00000000,96.86147186,76.36518771,85.40076336,85.36947351,85.36947351,79.46695694,32.22222222,94.41666667,0.00000000,1.41161337,52.65613484,1100.00000000,11.32965088,96.43044619,11.02968284,72.22222222
12,125,6,2.00000000,1848.00000000,1817.00000000,353.00000000,31.00000000,98.32251082,83.73271889,90.44300647,90.34482895,90.34482895,86.21657852,3.83333333,68.94444445,0.00000000,45.14685934,22.55768153,750.00000000,7.72476196,96.43044619,5.98743972,81.06060606
12,125,7,2.00000000,1848.00000000,1822.00000000,367.00000000,26.00000000,98.59307359,83.23435359,90.26504830,90.19134493,90.19134493,85.32249964,3.94444444,80.20000000,0.00000000,22.56194460,28.58271233,875.00000000,9.01222229,96.43044619,6.16539789,77.90404040
12,125,8,2.00000000,1848.00000000,1819.00000000,379.00000000,29.00000000,98.43073593,82.75705187,89.91596639,89.83734831,89.83734831,84.90148809,3.88888889,82.16111111,0.00000000,11.27232453,34.60996060,1000.00000000,10.29968262,96.43044619,6.51447981,74.74747475
12,125,9,2.00000000,1848.00000000,1814.00000000,386.00000000,34.00000000,98.16017316,82.45454545,89.62450593,89.54595350,89.54595350,84.43555727,3.88888889,76.80000000,0.00000000,5.63404684,40.63381805,1125.00000000,11.58714294,96.43044619,6.80594027,71.59090909
12,125,10,2.00000000,1848.00000000,1816.00000000,379.00000000,32.00000000,98.26839827,82.73348519,89.83428147,89.76021597,89.76021597,84.67526972,3.88888889,79.75555556,0.00000000,2.82070577,46.64307235,1250.00000000,12.87460327,96.43044619,6.59616472,68.43434343
12,125,11,2.00000000,1848.00000000,1815.00000000,380.00000000,33.00000000,98.21428571,82.68792711,89.78481326,89.70787423,89.70787423,84.61772825,3.88888889,76.79166667,0.00000000,1.40971273,52.66761845,1375.00000000,14.16206360,96.43044619,6.64563294,65.27777778
12,180,6,2.00000000,1848.00000000,1832.00000000,233.00000000,16.00000000,99.13419913,88.71670702,93.63659596,93.55752499,93.55752499,91.78386751,2.77777778,47.22222222,0.00000000,45.11898500,22.56147126,1080.00000000,11.12365723,96.43044619,2.79385023,72.72727273
12,180,7,2.00000000,1848.00000000,1829.00000000,233.00000000,19.00000000,98.97186147,88.70029098,93.55498721,93.47819478,93.47819478,91.76786212,2.77777778,47.22222222,0.00000000,22.56691291,28.57921486,1260.00000000,12.97760010,96.43044619,2.87545898,68.18181818
12,180,8,2.00000000,1848.00000000,1831.00000000,241.00000000,17.00000000,99.08008658,88.36872587,93.41836735,93.33759806,93.33759806,91.41223277,2.77777778,47.22222222,0.00000000,11.26645489,34.61291716,1440.00000000,14.83154297,96.43044619,3.01207885,63.63636364
12,180,9,2.00000000,1848.00000000,1829.00000000,247.00000000,19.00000000,98.97186147,88.10211946,93.22120285,93.13646732,93.13646732,91.11449419,2.77777778,47.22222222,0.00000000,5.63911190,40.62444627,1620.00000000,16.68548584,96.43044619,3.20924334,59.09090909
12,180,10,2.00000000,1848.00000000,1829.00000000,238.00000000,19.00000000,98.97186147,88.48572811,93.43550447,93.35733702,93.35733702,91.58041455,2.77777778,47.22222222,0.00000000,2.82099110,46.64063218,1800.00000000,18.53942871,96.43044619,2.99494172,54.54545455
12,180,11,2.00000000,1848.00000000,1829.00000000,239.00000000,19.00000000,98.97186147,88.44294004,93.41164454,93.33304596,93.33304596,91.53426154,2.77777778,47.22222222,0.00000000,1.40838934,52.67421319,1980.00000000,20.39337158,96.43044619,3.01880166,50.00000000
12,250,6,2.00000000,1848.00000000,1833.00000000,171.00000000,15.00000000,99.18831169,91.46706587,95.17133956,95.16650790,95.16650790,95.09368005,1.44444445,39.04444444,0.00000000,45.14571667,22.55638581,1500.00000000,15.44952393,96.43044619,1.25910663,62.12121212
12,250,7,2.00000000,1848.00000000,1834.00000000,161.00000000,14.00000000,99.24242424,91.92982456,95.44626594,95.42877954,95.42877954,95.16234698,1.44444445,37.33888889,0.00000000,22.54869680,28.58628510,1750.00000000,18.02444458,96.43044619,0.98418026,55.80808081
12,250,8,2.00000000,1848.00000000,1835.00000000,162.00000000,13.00000000,99.29653680,91.88783175,95.44863459,95.43204890,95.43204890,95.17234396,1.44444445,38.81388889,0.00000000,11.27133377,34.60920740,2000.00000000,20.59936523,96.43044619,0.98181160,49.49494949
